subset,path,repeat,location,source_mm3,witness_mm3,raw_removed_mm3,normalized_removed_mm3,raw_relief_ratio,normalized_relief_ratio,epsilon_zero_mm3,normalization_applied,engineering_status
L07,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,13154.148554984411,-0.0003739519670489244,0.0,-2.8428444160918192e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L03_L05,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,12565.10419777068,589.0439832617649,589.0439832617649,0.044780093332925486,0.044780093332925486,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,12565.104197770657,589.0439832617867,589.0439832617867,0.044780093332927144,0.044780093332927144,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,12565.104197770681,589.0439832617631,589.0439832617631,0.04478009333292535,0.04478009333292535,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,12565.10419777068,589.0439832617649,589.0439832617649,0.044780093332925486,0.044780093332925486,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,12565.104197770657,589.0439832617867,589.0439832617867,0.044780093332927144,0.044780093332927144,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,12565.104197770681,589.0439832617631,589.0439832617631,0.04478009333292535,0.04478009333292535,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,12565.104197770683,589.0439832617612,589.0439832617612,0.04478009333292521,0.04478009333292521,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,12565.104197770657,589.0439832617867,589.0439832617867,0.044780093332927144,0.044780093332927144,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,12565.10419777068,589.0439832617649,589.0439832617649,0.044780093332925486,0.044780093332925486,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,12565.104197770683,589.0439832617612,589.0439832617612,0.04478009333292521,0.04478009333292521,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,12565.104197770657,589.0439832617867,589.0439832617867,0.044780093332927144,0.044780093332927144,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L05,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,12565.10419777068,589.0439832617649,589.0439832617649,0.044780093332925486,0.044780093332925486,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,12297.348936105456,856.7992449269877,856.7992449269877,0.06513528912213754,0.06513528912213754,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,12297.348936105438,856.7992449270059,856.7992449270059,0.06513528912213891,0.06513528912213891,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,12297.34893610546,856.7992449269841,856.7992449269841,0.06513528912213726,0.06513528912213726,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,12297.348936105456,856.7992449269877,856.7992449269877,0.06513528912213754,0.06513528912213754,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,12297.348936105438,856.7992449270059,856.7992449270059,0.06513528912213891,0.06513528912213891,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,12297.34893610546,856.7992449269841,856.7992449269841,0.06513528912213726,0.06513528912213726,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,12297.34893610546,856.7992449269841,856.7992449269841,0.06513528912213726,0.06513528912213726,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03_L06,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,12297.348936105438,856.7992449270059,856.7992449270059,0.06513528912213891,0.06513528912213891,0.013154148181032443,False,NONNEGATIVE_RETAINED
