condition,case_id,joint_index,radius_m,local_chamfer_mm2
D,dev_arm-07307859e2,10,0.11897594799911629,0.0006041240509293065
D,dev_arm-10f5f05385,0,0.07864880159975975,0.0010607080714692002
D,dev_arm-10f5f05385,1,0.07864880159975975,0.0011090249886111314
D,dev_arm-10f5f05385,2,0.07864880159975975,0.0011309943785784442
D,dev_arm-10f5f05385,3,0.07864880159975975,0.0008627064554169897
D,dev_arm-10f5f05385,4,0.07864880159975975,0.001256155448104903
D,dev_arm-21b8992ec4,0,0.11446286722336801,0.00016854186472313118
D,dev_arm-21b8992ec4,1,0.11446286722336801,0.000185343859713554
D,dev_arm-21b8992ec4,2,0.11446286722336801,0.00017918499605608276
D,dev_arm-21b8992ec4,3,0.11446286722336801,0.0004962260592876982
D,dev_arm-21b8992ec4,4,0.11446286722336801,0.0005278066305852844
D,dev_arm-21b8992ec4,5,0.11446286722336801,0.0004185788776998153
D,dev_arm-21b8992ec4,6,0.11446286722336801,0.00040646635144323136
D,dev_arm-21b8992ec4,7,0.11446286722336801,0.0002795672146850942
D,dev_arm-21b8992ec4,8,0.11446286722336801,0.0002750707890998846
D,dev_arm-21b8992ec4,9,0.11446286722336801,0.0003709646625399711
D,dev_arm-3ce41d3c31,0,0.1355428647672726,0.001515758896563461
D,dev_arm-3ce41d3c31,1,0.1355428647672726,0.0015817041673545622
D,dev_arm-3ce41d3c31,2,0.1355428647672726,0.0014386958071028247
D,dev_arm-3ce41d3c31,3,0.1355428647672726,0.0013653641865624924
D,dev_arm-3ce41d3c31,4,0.1355428647672726,0.0009054649179595356
D,dev_arm-3ce41d3c31,5,0.1355428647672726,0.0008487113579688596
D,dev_arm-3ce41d3c31,6,0.1355428647672726,0.0007953457195280953
D,dev_arm-3ce41d3c31,7,0.1355428647672726,0.0007592926910996169
D,dev_arm-3ce41d3c31,8,0.1355428647672726,0.0007724389841162586
D,dev_arm-42e898b1a2,0,0.04427362768800189,5.484092511788063e-05
D,dev_arm-42e898b1a2,1,0.04427362768800189,0.00011026584110424368
D,dev_arm-42e898b1a2,2,0.04427362768800189,0.00010629510933440211
D,dev_arm-42e898b1a2,3,0.04427362768800189,0.00010872241334292462
D,dev_arm-42e898b1a2,4,0.04427362768800189,0.00013504971740735204
D,dev_arm-42e898b1a2,5,0.04427362768800189,0.00021920615768744774
D,dev_arm-43fa322555,0,0.11892464039468678,0.00022797814281319892
D,dev_arm-43fa322555,1,0.11892464039468678,0.000355177188059333
D,dev_arm-43fa322555,2,0.11892464039468678,0.0003554889804601535
D,dev_arm-43fa322555,3,0.11892464039468678,0.00036896120922938274
D,dev_arm-43fa322555,4,0.11892464039468678,0.00035515104837148515
D,dev_arm-43fa322555,5,0.11892464039468678,0.0005447581367700794
D,dev_arm-43fa322555,6,0.11892464039468678,0.0005393344441163265
D,dev_arm-43fa322555,7,0.11892464039468678,0.0006134114896032218
D,dev_arm-43fa322555,8,0.11892464039468678,0.0005737556551244843
D,dev_arm-43fa322555,9,0.11892464039468678,0.0008071701297189017
D,dev_arm-43fa322555,10,0.11892464039468678,0.0007920101780345009
D,dev_arm-43fa322555,11,0.11892464039468678,0.0007301503932608378
D,dev_arm-43fa322555,12,0.11892464039468678,0.0007545246726765054
D,dev_arm-43fa322555,13,0.11892464039468678,0.00046788505670414997
D,dev_arm-43fa322555,14,0.11892464039468678,0.0004602292137976329
D,dev_arm-43fa322555,15,0.11892464039468678,0.0007408020695173784
D,dev_arm-4c7b408826,0,0.1182243846279309,0.0012528264894889544
D,dev_arm-4c7b408826,1,0.1182243846279309,0.0019660914289995205
D,dev_arm-4c7b408826,2,0.1182243846279309,0.0022620401671900204
D,dev_arm-4c7b408826,3,0.1182243846279309,0.0016134738177431079
D,dev_arm-4c7b408826,4,0.1182243846279309,0.001072238697342376
D,dev_arm-4c7b408826,5,0.1182243846279309,0.0008870189605756104
D,dev_arm-4c7b408826,6,0.1182243846279309,0.0012093338653157294
D,dev_arm-4c7b408826,7,0.1182243846279309,0.0009367950263015005
D,dev_arm-4c7b408826,8,0.1182243846279309,0.000867281496644585
D,dev_arm-551a9c392e,0,0.22594329204399047,0.0026964343278058616
D,dev_arm-551a9c392e,1,0.22594329204399047,0.0023786876559124585
D,dev_arm-551a9c392e,2,0.22594329204399047,0.002519421542881946
D,dev_arm-551a9c392e,3,0.22594329204399047,0.002592201433141356
D,dev_arm-551a9c392e,4,0.22594329204399047,0.002592636734668205
D,dev_arm-551a9c392e,5,0.22594329204399047,0.001171192995572269
D,dev_arm-551a9c392e,6,0.22594329204399047,0.001241502205806717
D,dev_arm-551a9c392e,7,0.22594329204399047,0.0013515405279563228
D,dev_arm-551a9c392e,8,0.22594329204399047,0.0019921971383109107
D,dev_arm-551a9c392e,9,0.22594329204399047,0.002539511482600704
D,dev_arm-551a9c392e,10,0.22594329204399047,0.0024907279817453333
D,dev_arm-551a9c392e,11,0.22594329204399047,0.0017905601976942614
D,dev_arm-551a9c392e,12,0.22594329204399047,0.0011118217320735177
D,dev_arm-551a9c392e,13,0.22594329204399047,0.0005151399105334407
D,dev_arm-551a9c392e,14,0.22594329204399047,0.0004731208275376929
D,dev_arm-551a9c392e,15,0.22594329204399047,0.000506272722146948
D,dev_arm-551a9c392e,16,0.22594329204399047,0.0004659457934589124
D,dev_arm-551a9c392e,17,0.22594329204399047,0.0005521327155916622
D,dev_arm-551a9c392e,18,0.22594329204399047,0.00115334811158752
D,dev_arm-551a9c392e,19,0.22594329204399047,0.0014112682600861718
D,dev_arm-ab15a75247,0,0.04187241293179906,0.0001873838082656671
D,dev_arm-ab15a75247,1,0.04187241293179906,0.0001829697424218628
D,dev_arm-ab15a75247,2,0.04187241293179906,0.0002543083399564452
D,dev_arm-ab15a75247,3,0.04187241293179906,0.00023381403044786623
D,dev_arm-cb42051aad,0,0.1016617389139592,0.0023792304588002317
D,dev_arm-cb42051aad,1,0.1016617389139592,0.0025598012547618475
D,dev_arm-cb42051aad,2,0.1016617389139592,0.002749296550005206
D,dev_arm-cb42051aad,3,0.1016617389139592,0.0025876241383530232
D,dev_arm-cb42051aad,4,0.1016617389139592,0.0013177567149586207
D,dev_arm-cb42051aad,5,0.1016617389139592,0.0007354246754434821
D,dev_arm-cb42051aad,6,0.1016617389139592,0.0022768357478227387
D,dev_arm-cb42051aad,7,0.1016617389139592,0.0007346189563602555
D,dev_arm-cb42051aad,8,0.1016617389139592,0.0007201123450879293
D,dev_arm-d55f01b988,0,0.0430189524012178,3.737687510454042e-05
D,dev_arm-d55f01b988,1,0.0430189524012178,3.656111014483034e-05
D,dev_arm-d55f01b988,2,0.0430189524012178,3.584930710406393e-05
D,dev_arm-d55f01b988,3,0.0430189524012178,5.687985716936916e-05
D,dev_arm-d55f01b988,4,0.0430189524012178,6.69137882478485e-05
D,dev_arm-d55f01b988,5,0.0430189524012178,0.00013718296378872568
D,dev_arm-d55f01b988,6,0.0430189524012178,0.00015314604458358972
D,dev_arm-d55f01b988,7,0.0430189524012178,0.0001378802578958235
D,dev_arm-dcc2b0ce1e,0,0.15206415285384897,0.0008352569800690677
D,dev_arm-dcc2b0ce1e,1,0.15206415285384897,0.0008203049963234771
D,dev_arm-dcc2b0ce1e,2,0.15206415285384897,0.0013990533023408866
D,dev_arm-dcc2b0ce1e,3,0.15206415285384897,0.0014245863199522275
