case_id,version,link_id,gt_link_index,status,chamfer,hd95,hausdorff_max,voxel_iou
dev_arm-551a9c392e,V1,L13,13,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L14,14,SUCCESS,0.0008086921058696951,0.05227530225696809,0.06072343030491618,0.45
dev_arm-551a9c392e,V1,L15,15,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L16,16,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L17,17,SUCCESS,0.0015282625118879748,0.06384815370857007,0.07819707092268344,0.3333333333333333
dev_arm-551a9c392e,V1,L18,18,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L19,19,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L20,20,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L0,0,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L1,1,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L2,2,SUCCESS,0.014779097062003137,0.25606569874291,0.3227533673924451,0.043478260869565216
dev_arm-551a9c392e,V2,L3,3,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L4,4,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L5,5,SUCCESS,0.0950530922710543,0.3638673742232837,0.3806255772228316,0.0
dev_arm-551a9c392e,V2,L6,6,SUCCESS,0.07882359724998009,0.35850393882659254,0.38598196413572866,0.0
dev_arm-551a9c392e,V2,L7,7,SUCCESS,0.08806842746219318,0.34055525046472696,0.36516342071558555,0.0
dev_arm-551a9c392e,V2,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L9,9,SUCCESS,0.05623993164797701,0.3015335728341788,0.3178994734943371,0.0
dev_arm-551a9c392e,V2,L10,10,SUCCESS,0.027088394700546706,0.2665998671981126,0.2897558460973198,0.0
dev_arm-551a9c392e,V2,L11,11,SUCCESS,0.009643793090154,0.16762972051738437,0.178429766591714,0.0
dev_arm-551a9c392e,V2,L12,12,SUCCESS,0.002781651855369504,0.12762017964388686,0.14487502697765425,0.2857142857142857
dev_arm-551a9c392e,V2,L13,13,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L14,14,SUCCESS,0.0007995714717147528,0.05461840238822008,0.06689678949349913,0.45
dev_arm-551a9c392e,V2,L15,15,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L16,16,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L17,17,SUCCESS,0.0012074907072735816,0.06233288827467757,0.07672489437070207,0.42857142857142855
dev_arm-551a9c392e,V2,L18,18,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L19,19,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V2,L20,20,GT_LINK_MESH_MISSING,,,,
