case_id,version,joint_id,gt_joint_name,sampled_gt,sampled_pred,local_chamfer,local_hd95,parent_surface_distance,child_surface_distance,interface_gap,disconnected
dev_arm-551a9c392e,V1,J15,right_wrist,153,560,0.0005212448071968938,0.05228802025756133,0.009776713968026322,0.004419243181476735,0.014195957149503058,0
dev_arm-551a9c392e,V1,J16,right_j6,128,503,0.0007419691547551572,0.06669013907795662,0.029860959362527084,0.025326622849761147,0.05518758221228823,0
dev_arm-551a9c392e,V1,J17,right_hand,126,469,0.0007800430697545639,0.06733065723487382,0.030929168373106077,0.03140671588449237,0.06233588425759845,0
dev_arm-551a9c392e,V1,J18,display_joint,242,0,,,0.30989940225930235,0.28541217719961925,0.5953115794589217,1
dev_arm-551a9c392e,V1,J19,head_camera,138,0,,,0.3385913060591113,0.3099577754252029,0.6485490814843142,1
dev_arm-551a9c392e,V2,J0,controller_box_fixed,343,36,0.003555823819060788,0.1276311844986046,0.25398985347636444,0.28864157565327014,0.5426314291296346,1
dev_arm-551a9c392e,V2,J1,pedestal_feet_fixed,343,36,0.003555823819060788,0.1276311844986046,0.2532929093363455,0.2886727880464499,0.5419656973827954,1
dev_arm-551a9c392e,V2,J2,torso_t0,343,36,0.003555823819060788,0.1276311844986046,0.254091595851833,0.2891370043791701,0.5432286002310032,1
dev_arm-551a9c392e,V2,J3,pedestal_fixed,343,36,0.003555823819060788,0.1276311844986046,0.2537528831226846,0.28769883324330814,0.5414517163659928,1
dev_arm-551a9c392e,V2,J4,right_arm_mount,343,36,0.003555823819060788,0.1276311844986046,0.2541351720022989,0.27632831957049664,0.5304634915727955,1
dev_arm-551a9c392e,V2,J5,right_j0,348,12,0.004517008528214867,0.14605792742355952,0.31045499662305276,0.2062854426872797,0.5167404393103324,1
dev_arm-551a9c392e,V2,J6,head_pan,309,0,,,0.3059144692713503,0.26120483795992006,0.5671193072312704,1
dev_arm-551a9c392e,V2,J7,right_torso_itb,291,0,,,0.265025810055411,0.3238693237020098,0.5888951337574209,1
dev_arm-551a9c392e,V2,J8,right_j1,378,0,,,0.3089839913466255,0.21558456027108738,0.5245685516177129,1
dev_arm-551a9c392e,V2,J9,right_j2,207,0,,,0.23482707172382222,0.11020408351323269,0.3450311552370549,1
dev_arm-551a9c392e,V2,J10,right_j3,177,121,0.0015965831878459276,0.0799959928492655,0.13301424871986545,0.0894885315727765,0.22250278029264195,1
dev_arm-551a9c392e,V2,J11,right_j4,170,334,0.0008730046154893337,0.05573815852179511,0.08853474372870467,0.01583562659169878,0.10437037032040344,1
dev_arm-551a9c392e,V2,J12,right_arm_itb,149,353,0.0004212726496063924,0.04038498534096827,0.018347182540170048,0.06703882534560883,0.08538600788577888,0
dev_arm-551a9c392e,V2,J13,right_j5,170,568,0.0003811111918250563,0.042915550374672214,0.009459525713866495,0.0067370850202734525,0.016196610734139947,0
dev_arm-551a9c392e,V2,J14,right_hand_camera,150,562,0.00045034466072826917,0.047333043398882425,0.027645464152887624,0.020403553008049757,0.04804901716093738,0
dev_arm-551a9c392e,V2,J15,right_wrist,153,605,0.0005261137910303219,0.053674178841775146,0.007576205188879259,0.004433961536950199,0.012010166725829458,0
dev_arm-551a9c392e,V2,J16,right_j6,128,525,0.0007327306887638797,0.06795240554919602,0.018676159884700533,0.016201047846541958,0.03487720773124249,0
dev_arm-551a9c392e,V2,J17,right_hand,126,486,0.0007773683531090541,0.06937078866712668,0.02037097146176861,0.021841094144288243,0.04221206560605685,0
dev_arm-551a9c392e,V2,J18,display_joint,242,0,,,0.29870310198574906,0.2763316026344555,0.5750347046202046,1
dev_arm-551a9c392e,V2,J19,head_camera,138,0,,,0.3283833412073696,0.300242276526441,0.6286256177338105,1
