case_id,link_id,view,crop_kind,crop_path,bbox_px,localization_method,gt_geometry_used
dev_arm-4c7b408826,L5,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L5\front_proximal_joint_crop.png,"[129, 81, 229, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L5,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L5\front_distal_joint_crop.png,"[160, 81, 260, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L5,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L5\isometric_link_crop.png,"[132, 59, 232, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L5,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L5\isometric_proximal_joint_crop.png,"[123, 46, 223, 368]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L5,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L5\isometric_distal_joint_crop.png,"[141, 59, 241, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L6,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L6\front_link_crop.png,"[169, 81, 281, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L6,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L6\front_proximal_joint_crop.png,"[160, 81, 260, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L6,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L6\front_distal_joint_crop.png,"[190, 81, 290, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L6,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L6\isometric_link_crop.png,"[150, 59, 250, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L6,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L6\isometric_proximal_joint_crop.png,"[141, 59, 241, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L6,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L6\isometric_distal_joint_crop.png,"[159, 59, 259, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L7,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L7\front_link_crop.png,"[199, 81, 311, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L7,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L7\front_proximal_joint_crop.png,"[190, 81, 290, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L7,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L7\front_distal_joint_crop.png,"[220, 81, 320, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L7,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L7\isometric_link_crop.png,"[168, 59, 268, 381]",silhouette_bbox_plus_urdf_link_order,False
