entity_id,manufacturer,name,source,is_audit30,ratio,feature_ok,failures,n_meshes,n_failed,faces,normal_spectral_entropy,curvature_entropy,dihedral_q90_deg,sharp_rate_30deg,complexity_score
arm-ed32f9fe54,Fanuc,LR Mate 200iD/4SH,ros-industrial,False,0.5,True,[],7,0,7310,0.9428757594609325,0.2800032919317823,18.694039749933953,0.04959007124861954,-0.29359508541438595
arm-ed32f9fe54,Fanuc,LR Mate 200iD/4SH,ros-industrial,False,0.25,True,[],7,0,4098,0.9431419112209664,0.3711686854444898,27.58633597448024,0.08728999677509329,-0.07816529068307523
arm-f9636ec28a,Fanuc,LR Mate 200iD/7H,ros-industrial,False,1.0,True,[],7,0,25085,0.9257160844826633,0.05062911510379655,7.781323051510455,0.013600215603206074,-0.7799205990176115
arm-f9636ec28a,Fanuc,LR Mate 200iD/7H,ros-industrial,False,0.5,True,[],7,0,13140,0.9253769616844852,0.21821800351917175,15.579744979531254,0.04314524103313513,-0.5044753727223397
arm-f9636ec28a,Fanuc,LR Mate 200iD/7H,ros-industrial,False,0.25,True,[],7,0,8536,0.9251905089151213,0.28252446649637597,22.587236198591587,0.0718028324174771,-0.34745755915985893
arm-7e0c14e59c,Fanuc,LR Mate 200iD/7L,ros-industrial,False,1.0,True,[],7,0,22060,0.9051988570953308,0.07888345937568196,8.224665376865769,0.012995679080142614,-0.8824550038018961
arm-7e0c14e59c,Fanuc,LR Mate 200iD/7L,ros-industrial,False,0.5,True,[],7,0,11627,0.9049108790911228,0.22685929755606285,16.190788127573747,0.042375270362241015,-0.6276669514414526
arm-7e0c14e59c,Fanuc,LR Mate 200iD/7L,ros-industrial,False,0.25,True,[],7,0,7213,0.9011375294730866,0.3242456927642767,24.30429760540288,0.07702049201070502,-0.4414428844518764
arm-d7b62265c9,Fanuc,LR Mate 200iD/7LC,ros-industrial,False,1.0,True,[],7,0,22060,0.9051988570953308,0.07888345937568196,8.224665376865769,0.012995679080142614,-0.8824550038018961
arm-d7b62265c9,Fanuc,LR Mate 200iD/7LC,ros-industrial,False,0.5,True,[],7,0,11627,0.9049108790911228,0.22685929755606285,16.190788127573747,0.042375270362241015,-0.6276669514414526
arm-d7b62265c9,Fanuc,LR Mate 200iD/7LC,ros-industrial,False,0.25,True,[],7,0,7213,0.9011375294730866,0.3242456927642767,24.30429760540288,0.07702049201070502,-0.4414428844518764
arm-785e16bb50,Fanuc,M-10iA,ros-industrial,False,1.0,True,[],7,0,6932,0.9158563640559839,0.20163338753174154,24.65503100058003,0.06343712528682616,-0.5016602877845503
arm-785e16bb50,Fanuc,M-10iA,ros-industrial,False,0.5,True,[],7,0,3461,0.9158261486365128,0.37257151846706416,35.63188393775818,0.10210729549777027,-0.18764113621527584
arm-785e16bb50,Fanuc,M-10iA,ros-industrial,False,0.25,True,[],7,0,1845,0.917053404988705,0.45659534378362865,43.015084055838415,0.1507291549061598,0.03748038266067418
arm-1a2726f62c,Fanuc,M-10iA/7L,ros-industrial,False,1.0,True,[],7,0,3590,0.9003716572402057,0.35599901595993055,37.31246547579885,0.13302389148751445,-0.24424052895719123
arm-1a2726f62c,Fanuc,M-10iA/7L,ros-industrial,False,0.5,True,[],7,0,1966,0.9003752754353923,0.4087433789623053,40.508528849771075,0.15739802181358437,-0.12638605500671343
arm-1a2726f62c,Fanuc,M-10iA/7L,ros-industrial,False,0.25,True,[],7,0,1172,0.8997666192451771,0.48275973913136316,50.12771187898324,0.2079089456243354,0.09079202815430089
arm-b9fde37ad7,Fanuc,M-16iB,matlab,False,1.0,True,[],7,0,3055,0.8854649750089789,0.36049829932905353,28.01967787268282,0.09560095395136374,-0.45226970340641004
