entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error
arm-98c28568ba,Fanuc,CRX-10iA/L,development,1000,True,24482,1000,1174,7,0,[],0.02753978110436782,0.08298454851940212,0.07614972438564895
arm-98c28568ba,Fanuc,CRX-10iA/L,development,5000,True,24482,5000,4992,7,0,[],0.02132325676253674,0.06581616193556208,0.04307618348000943
arm-98c28568ba,Fanuc,CRX-10iA/L,development,10000,True,24482,10000,9992,7,0,[],0.02100287548427737,0.0638741511395866,0.03986415894792252
arm-cf88bb5d3f,Fanuc,LR Mate 200i,development,1000,True,4277,1000,993,7,0,[],0.027378907213606998,0.08514182113548172,0.047457148174502826
arm-cf88bb5d3f,Fanuc,LR Mate 200i,development,5000,True,4277,5000,4277,7,0,[],0.0,0.0,0.0
arm-cf88bb5d3f,Fanuc,LR Mate 200i,development,10000,True,4277,10000,4277,7,0,[],0.0,0.0,0.0
arm-fa86494fa0,Fanuc,LR Mate 200iB,development,1000,True,25209,1000,12168,7,0,[],0.025234254405880948,0.07329060572559055,0.03890454551325073
arm-fa86494fa0,Fanuc,LR Mate 200iB,development,5000,True,25209,5000,12356,7,0,[],0.02555880192262646,0.07156242462213885,0.040240000635106174
arm-fa86494fa0,Fanuc,LR Mate 200iB,development,10000,True,25209,10000,13130,7,0,[],0.025307282268368193,0.07539535983843296,0.032287851866211
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,development,1000,True,25109,1000,11586,7,0,[],0.025193013208041484,0.07398766654983056,0.041969985019244246
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,development,5000,True,25109,5000,11776,7,0,[],0.024784294543057105,0.0772830959829103,0.042528800761057785
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,development,10000,True,25109,10000,12612,7,0,[],0.024800248883984674,0.07007079003089776,0.04249421312711891
arm-cb42051aad,Fanuc,LR Mate 200iC,development,1000,True,20341,1000,4582,7,0,[],0.02631867187368184,0.07741964416872835,0.05691660729742856
arm-cb42051aad,Fanuc,LR Mate 200iC,development,5000,True,20341,5000,5728,7,0,[],0.025536745312243564,0.07091574566055436,0.045301464421689835
arm-cb42051aad,Fanuc,LR Mate 200iC,development,10000,True,20341,10000,10396,7,0,[],0.025987694981491817,0.07477837283689172,0.039827861902113376
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,development,1000,True,13046,1000,3046,6,0,[],0.02557723054150824,0.07703375380224557,0.07252838386357521
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,development,5000,True,13046,5000,5544,6,0,[],0.023856695449046127,0.06808354481645074,0.041848255762864245
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,development,10000,True,13046,10000,10026,6,0,[],0.024222977413100564,0.07204930583109521,0.04404314826735658
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,development,1000,True,13046,1000,3046,6,0,[],0.025681060093966722,0.07807858048095112,0.07284136574584979
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,development,5000,True,13046,5000,5544,6,0,[],0.02405023026041126,0.0747953993089179,0.046078877118719
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,development,10000,True,13046,10000,10026,6,0,[],0.02403997494931026,0.07095257984897406,0.040263602548161706
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,development,1000,True,13046,1000,3046,6,0,[],0.025713016724254936,0.07902340668755241,0.06794194259337784
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,development,5000,True,13046,5000,5544,6,0,[],0.024722580524377234,0.07555437731050876,0.05164322399734016
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,development,10000,True,13046,10000,10026,6,0,[],0.024083452676684547,0.07093084370431971,0.04212862000161145
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,development,1000,True,12600,1000,2909,7,0,[],0.028131275939602813,0.09062590853368875,0.09471045860175338
